Time (s),Voltage (V)
-1.3986999999999971e-05,0.0
-1.3986874999999971e-05,0.0
-1.398674999999997e-05,0.0
-1.398662499999997e-05,0.0
-1.398649999999997e-05,0.0
-1.398637499999997e-05,0.0
-1.398624999999997e-05,0.0
-1.398612499999997e-05,0.0
-1.3985999999999969e-05,0.0
-1.3985874999999969e-05,0.0
-1.3985749999999969e-05,0.0
-1.3985624999999968e-05,0.0
-1.3985499999999968e-05,0.0
-1.3985374999999968e-05,0.0
-1.3985249999999967e-05,0.0
-1.3985124999999967e-05,0.0
-1.3984999999999967e-05,0.0
-1.3984874999999967e-05,0.0
-1.3984749999999966e-05,0.0
-1.3984624999999966e-05,0.0
-1.3984499999999966e-05,0.0
-1.3984374999999966e-05,0.0
-1.3984249999999965e-05,0.0
-1.3984124999999965e-05,0.0
-1.3983999999999965e-05,0.0
-1.3983874999999964e-05,0.0
-1.3983749999999964e-05,0.0
-1.3983624999999964e-05,0.0
-1.3983499999999964e-05,0.0
-1.3983374999999963e-05,0.0
-1.3983249999999963e-05,0.0
-1.3983124999999963e-05,0.0
-1.3982999999999963e-05,0.0
-1.3982874999999962e-05,0.0
-1.3982749999999962e-05,0.0
-1.3982624999999962e-05,0.0
-1.3982499999999961e-05,0.0
-1.3982374999999961e-05,0.0
-1.3982249999999961e-05,0.0
-1.398212499999996e-05,0.0
-1.398199999999996e-05,0.0
-1.398187499999996e-05,0.0
-1.398174999999996e-05,0.0
-1.398162499999996e-05,0.0
-1.398149999999996e-05,0.0
-1.3981374999999959e-05,0.0
-1.3981249999999959e-05,0.0
-1.3981124999999958e-05,0.0
-1.3980999999999958e-05,0.0
-1.3980874999999958e-05,0.04338928
-1.3980749999999958e-05,0.0
-1.3980624999999957e-05,0.0
-1.3980499999999957e-05,0.0
-1.3980374999999957e-05,0.0
-1.3980249999999956e-05,0.0
-1.3980124999999956e-05,0.0
-1.3979999999999956e-05,0.0
-1.3979874999999956e-05,0.0
-1.3979749999999955e-05,0.0
-1.3979624999999955e-05,0.0
-1.3979499999999955e-05,0.0
-1.3979374999999955e-05,0.0
-1.3979249999999954e-05,0.0
-1.3979124999999954e-05,0.0
-1.3978999999999954e-05,0.0
-1.3978874999999953e-05,0.0
-1.3978749999999953e-05,0.0
-1.3978624999999953e-05,0.0
-1.3978499999999953e-05,0.0
-1.3978374999999952e-05,0.0
-1.3978249999999952e-05,0.0
-1.3978124999999952e-05,0.0
-1.3977999999999952e-05,0.0
-1.3977874999999951e-05,0.0
-1.3977749999999951e-05,0.0
-1.397762499999995e-05,0.0
-1.397749999999995e-05,0.0
-1.397737499999995e-05,0.0
-1.397724999999995e-05,0.0
-1.397712499999995e-05,0.0
-1.397699999999995e-05,0.0
-1.3976874999999949e-05,0.0
-1.3976749999999949e-05,0.0
-1.3976624999999949e-05,0.0
-1.3976499999999948e-05,0.0
-1.3976374999999948e-05,0.0
-1.3976249999999948e-05,0.0
-1.3976124999999947e-05,0.0
-1.3975999999999947e-05,0.0
-1.3975874999999947e-05,0.0
-1.3975749999999947e-05,0.0
-1.3975624999999946e-05,0.0
-1.3975499999999946e-05,0.0
-1.3975374999999946e-05,0.0
-1.3975249999999946e-05,0.0
-1.3975124999999945e-05,0.0
-1.3974999999999945e-05,0.0
-1.3974874999999945e-05,0.0
-1.3974749999999944e-05,0.0
-1.3974624999999944e-05,0.0
-1.3974499999999944e-05,0.0
-1.3974374999999944e-05,0.0
-1.3974249999999943e-05,0.0
-1.3974124999999943e-05,0.0
-1.3973999999999943e-05,0.0
-1.3973874999999943e-05,0.0
-1.3973749999999942e-05,0.0
-1.3973624999999942e-05,0.0
-1.3973499999999942e-05,0.0
-1.3973374999999941e-05,0.0
-1.3973249999999941e-05,0.0
-1.3973124999999941e-05,0.0
-1.397299999999994e-05,0.0
-1.397287499999994e-05,0.04338928
-1.397274999999994e-05,0.04338928
-1.397262499999994e-05,0.04338928
-1.397249999999994e-05,0.04338928
-1.397237499999994e-05,0.0
-1.3972249999999939e-05,0.0
-1.3972124999999939e-05,0.0
-1.3971999999999938e-05,0.0
-1.3971874999999938e-05,0.0
-1.3971749999999938e-05,0.0
-1.3971624999999938e-05,0.0
-1.3971499999999937e-05,0.0
-1.3971374999999937e-05,0.0
-1.3971249999999937e-05,0.0
-1.3971124999999936e-05,0.0
-1.3970999999999936e-05,0.0
-1.3970874999999936e-05,0.0
-1.3970749999999936e-05,0.0
-1.3970624999999935e-05,0.0
-1.3970499999999935e-05,0.0
-1.3970374999999935e-05,0.0
-1.3970249999999935e-05,0.0
-1.3970124999999934e-05,0.0
-1.3969999999999934e-05,0.0
-1.3969874999999934e-05,0.0
-1.3969749999999933e-05,0.0
-1.3969624999999933e-05,0.04338928
-1.3969499999999933e-05,0.0
-1.3969374999999933e-05,0.0
-1.3969249999999932e-05,0.0
-1.3969124999999932e-05,0.0
-1.3968999999999932e-05,0.0
-1.3968874999999932e-05,0.0
-1.3968749999999931e-05,0.0
-1.3968624999999931e-05,0.0
-1.396849999999993e-05,0.0
-1.396837499999993e-05,0.0
-1.396824999999993e-05,0.04338928
-1.396812499999993e-05,0.0
-1.396799999999993e-05,0.0
-1.396787499999993e-05,0.0
-1.3967749999999929e-05,0.0
-1.3967624999999929e-05,0.0
-1.3967499999999929e-05,0.0
-1.3967374999999928e-05,0.0
-1.3967249999999928e-05,0.0
-1.3967124999999928e-05,0.0
-1.3966999999999927e-05,0.04338928
-1.3966874999999927e-05,0.04338928
-1.3966749999999927e-05,0.04338928
-1.3966624999999927e-05,0.0
-1.3966499999999926e-05,0.0
-1.3966374999999926e-05,0.0
-1.3966249999999926e-05,0.0
-1.3966124999999926e-05,0.0
-1.3965999999999925e-05,0.0
-1.3965874999999925e-05,0.04338928
-1.3965749999999925e-05,0.04338928
-1.3965624999999924e-05,0.0
-1.3965499999999924e-05,0.0
-1.3965374999999924e-05,0.0
-1.3965249999999924e-05,0.0
-1.3965124999999923e-05,0.0
-1.3964999999999923e-05,0.0
-1.3964874999999923e-05,0.0
-1.3964749999999922e-05,0.0
-1.3964624999999922e-05,0.0
-1.3964499999999922e-05,0.0
-1.3964374999999922e-05,0.0
-1.3964249999999921e-05,0.0
-1.3964124999999921e-05,0.0
-1.3963999999999921e-05,0.0
-1.396387499999992e-05,0.0
-1.396374999999992e-05,0.0
-1.396362499999992e-05,0.0
-1.396349999999992e-05,0.0
-1.396337499999992e-05,0.0
-1.396324999999992e-05,0.0
-1.3963124999999919e-05,0.0
-1.3962999999999919e-05,0.0
-1.3962874999999918e-05,0.0
-1.3962749999999918e-05,0.0
-1.3962624999999918e-05,0.0
-1.3962499999999918e-05,0.0
-1.3962374999999917e-05,0.0
-1.3962249999999917e-05,0.0
-1.3962124999999917e-05,0.0
-1.3961999999999916e-05,0.0
-1.3961874999999916e-05,0.0
-1.3961749999999916e-05,0.0
-1.3961624999999916e-05,0.0
-1.3961499999999915e-05,0.0
-1.3961374999999915e-05,0.0
-1.3961249999999915e-05,0.0
-1.3961124999999915e-05,0.0
-1.3960999999999914e-05,0.0
-1.3960874999999914e-05,0.0
-1.3960749999999914e-05,0.0
-1.3960624999999913e-05,0.0
-1.3960499999999913e-05,0.0
-1.3960374999999913e-05,0.0
-1.3960249999999913e-05,0.0
-1.3960124999999912e-05,0.0
-1.3959999999999912e-05,0.0
